"GEO.id2","GEO.display-label","PopEstimate","Year","Median household income (dollars)","Percent workers commuting by public transportation","Percent population unemployed","Percent no health insurance coverage","Percent income below poverty level","gdp","CENTLAT","CENTLON","INTPTLAT","INTPTLON","UA","UANAME","UAPOP","UZA","UZA Area SQ Miles","UZA Name","UPTs","VRMs","VRHs","Total_Stations_2017","Total_Funding","Federal_Funding","State_Funding","Local_Funding","Other_Funding"
14100,"Bloomsburg-Berwick, PA Micro Area",81683,2007,42979,0,3.9,NA,NA,2892.8,41.0441317,-76.4589835,41.0404036,-76.4616535,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
14140,"Bluefield, WV-VA Micro Area",105205,2007,31548,0.1,2.2,NA,NA,NA,37.2506648,-81.3602279,37.2484625,-81.3593755,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
14260,"Boise City-Nampa, ID Metro Area",587025,2007,49888,0.4,3.6,NA,NA,25224.1,43.0098323,-116.1429392,43.0066485,-116.1419089,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4482857,2007,68142,12,3.9,NA,NA,310193.2,42.5153255,-71.0209107,42.517606,-71.0219925,"09271","Boston, MA--NH--RI Urbanized Area",4181019,10,1873,"Boston, MA-NH-RI",373581565,96169772,6753375,3450,1831697637,173878138,681464157,504499715,1831697637
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4482857,2007,68142,12,3.9,NA,NA,310193.2,42.5153255,-71.0209107,42.517606,-71.0219925,"72505","Providence, RI--MA Urbanized Area",1190956,39,545,"Providence, RI-MA",24277361,15000443,1123874,13,104787270,24155767,42794828,11368187,104787270
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",4482857,2007,68142,12,3.9,NA,NA,310193.2,42.5153255,-71.0209107,42.517606,-71.0219925,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
14500,"Boulder, CO Metro Area",290262,2007,63257,6.1,4.1,NA,NA,17506.6,40.092445,-105.3577027,40.0949699,-105.3976911,"23527","Denver--Aurora, CO Urbanized Area",2374203,18,668,"Denver-Aurora, CO",96203953,57284431,3572916,483,524340777,154617717,0,287870490,524340777
14500,"Boulder, CO Metro Area",290262,2007,63257,6.1,4.1,NA,NA,17506.6,40.092445,-105.3577027,40.0949699,-105.3976911,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
14540,"Bowling Green, KY Metro Area",116061,2007,41214,0.3,4.2,NA,NA,5095.9,37.0710773,-86.3572155,37.0877399,-86.3540909,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
14580,"Bozeman, MT Micro Area",89204,2007,51096,0.9,2.5,NA,NA,NA,45.5370953,-111.1705156,45.5180536,-111.1639214,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
14660,"Brainerd, MN Micro Area",90371,2007,40719,0.3,4.2,NA,NA,NA,46.797279,-94.2432521,46.7672909,-94.2238624,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
14700,"Branson, MO Micro Area",77635,2007,38922,0,3.4,NA,NA,NA,36.6953277,-93.2232728,36.695008,-93.2235611,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
14740,"Bremerton-Silverdale, WA Metro Area",236732,2007,57474,7.8,4.4,NA,NA,8761.9,47.6393911,-122.6494047,47.6396874,-122.6496358,"80389","Seattle, WA Urbanized Area",3059393,14,1010,"Seattle, WA",179848678,97824678,6459287,1027,2028711913,235861680,182557281,1152455717,2028711913
14740,"Bremerton-Silverdale, WA Metro Area",236732,2007,57474,7.8,4.4,NA,NA,8761.9,47.6393911,-122.6494047,47.6396874,-122.6496358,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",895015,2007,80241,9.5,3.8,NA,NA,86986.1,41.2247152,-73.3712486,41.2274128,-73.3670614,"63217","New York--Newark, NY--NJ--CT Urbanized Area",18351295,1,3450,"New York-Newark, NY-NJ-CT",4002339253,896885249,56730568,5346,15920894224,2123020241,3654576741,4399767159,15920894224
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",895015,2007,80241,9.5,3.8,NA,NA,86986.1,41.2247152,-73.3712486,41.2274128,-73.3670614,"10162","Bridgeport--Stamford, CT--NY Urbanized Area",923311,48,466,"Bridgeport-Stamford, CT-NY",10399232,6373530,536106,7,42067789,4205879,25044675,1209967,42067789
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",895015,2007,80241,9.5,3.8,NA,NA,86986.1,41.2247152,-73.3712486,41.2274128,-73.3670614,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
15180,"Brownsville-Harlingen, TX Metro Area",387210,2007,29347,0.5,3,NA,NA,7464.2,26.1515085,-97.4528374,26.1029227,-97.4789584,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
15260,"Brunswick, GA Metro Area",100831,2007,45480,0,3.1,NA,NA,3668.7,31.3055796,-81.5876273,31.3017391,-81.5889087,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
15380,"Buffalo-Niagara Falls, NY Metro Area",1128183,2007,44843,3.3,4.1,NA,NA,45002.7,43.0362872,-78.7755991,43.0443711,-78.7773351,"11350","Buffalo, NY Urbanized Area",935906,46,380,"Buffalo, NY",25674568,11421910,934545,69,136622355,24996616,45345537,39698159,136622355
15380,"Buffalo-Niagara Falls, NY Metro Area",1128183,2007,44843,3.3,4.1,NA,NA,45002.7,43.0362872,-78.7755991,43.0443711,-78.7773351,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
15500,"Burlington, NC Metro Area",145360,2007,41502,0.1,3.4,NA,NA,4335.2,36.0436252,-79.3994202,36.0439535,-79.4005733,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
15540,"Burlington-South Burlington, VT Metro Area",207288,2007,56879,1.8,3.5,NA,NA,10071.9,44.6865968,-73.0311964,44.6891168,-73.0411707,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
15940,"Canton-Massillon, OH Metro Area",407631,2007,44856,1.3,4.5,NA,NA,13182.2,40.7185052,-81.2531249,40.7110722,-81.2614743,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
15980,"Cape Coral-Fort Myers, FL Metro Area",590564,2007,50699,1.2,3.8,NA,NA,23600.4,26.5757127,-81.9153762,26.5551185,-81.8922362,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
16020,"Cape Girardeau-Jackson, MO-IL Micro Area",91067,2007,42380,0.3,4.3,NA,NA,3630.7,NA,NA,NA,NA,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
16220,"Casper, WY Metro Area",71750,2007,43807,0.3,1.9,NA,NA,6046.8,42.9614975,-106.7985179,42.9776447,-106.7682192,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
16300,"Cedar Rapids, IA Metro Area",252784,2007,52022,1,3.6,NA,NA,13154,42.0919308,-91.6315122,42.0863293,-91.6311439,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
16500,"Centralia, WA Micro Area",73645,2007,43473,0.6,3.8,NA,NA,NA,46.578938,-122.3925314,46.5800714,-122.3774443,"99999","Not in a 2010 urban area",NA,9,NA,"Atlanta, GA",156765897,66193922,3845181,291,711348059,100738079,10341427,446073989,711348059
