"msa_id","msa_name","pop_estimate_msa","year","median_household_income_msa","percent_commuting_msa","percent_unemployed_msa","percent_no_insurance_msa","percent_below_poverty_level","gdp_msa","intptlat","intptlon","ua_census_id","ua_sq_miles_2010","ua_fta_name","transit_modes","total_transit_expenses","total_fares","directional_route_miles","vehicle_hours","vehicle_miles","passenger_miles","passenger_trips","total_stations_2017","total_funding","federal_funding","state_funding","local_funding","other_funding","per_capita_gdp","pmt_per_vrm","pmt_per_vrh","per_capita_vrm","per_capita_vrh","per_capita_pmt","per_capita_upt"
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",6656946,2015,61465,1.4,0.1,17.3,14.6,494837400000,NA,NA,"19755",133,"Conroe-The Woodlands, TX","Bus",4565695,3896306,27.2,36324,1334197,21976724,636471,6,6975909,2787981,0,291622,3896306,74333.9964001511,16.4718733440414,605.019381125427,0.200421785004715,0.00545655620460193,3.30132225798437,0.0956100590270674
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",6656946,2015,61465,1.4,0.1,17.3,14.6,494837400000,NA,NA,"87220",76,"San Angelo, TX","Other",1803767,33002,0,18717,412775,730681,45637,NA,8196782,5306343,708564,1721616,460259,74333.9964001511,1.77016776694325,39.0383608484266,0.0620066619137364,0.00281164966637855,0.109762194255444,0.00685554607172719
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",6656946,2015,61465,1.4,0.1,17.3,14.6,494837400000,NA,NA,"87220",76,"San Angelo, TX","Bus",2133481,427257,190,34536,655600,1987389,294428,0,8196782,5306343,708564,1721616,460259,74333.9964001511,3.0314048200122,57.5454308547602,0.098483598935608,0.00518796457114118,0.298543656505551,0.0442286898526742
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",6656946,2015,61465,1.4,0.1,17.3,14.6,494837400000,NA,NA,"87220",76,"Texas City, TX","Bus",2133481,427257,190,34536,655600,1987389,294428,0,8196782,5306343,708564,1721616,460259,74333.9964001511,3.0314048200122,57.5454308547602,0.098483598935608,0.00518796457114118,0.298543656505551,0.0442286898526742
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",6656946,2015,61465,1.4,0.1,17.3,14.6,494837400000,NA,NA,"87220",76,"Texas City, TX","Other",1803767,33002,0,18717,412775,730681,45637,NA,8196782,5306343,708564,1721616,460259,74333.9964001511,1.77016776694325,39.0383608484266,0.0620066619137364,0.00281164966637855,0.109762194255444,0.00685554607172719
26900,"Indianapolis-Carmel-Anderson, IN Metro Area",1988152,2015,54322,1.6,0.1,9.3,13.9,130824600000,NA,NA,"41212",706,"Indianapolis, IN","Other",9059930,1045666,0,160890,2750052,3777632,285022,NA,89819421,34232426,10685980,32961893,11939122,65802.1117097687,1.37365838900501,23.4795947541799,1.38322019644373,0.0809243961226305,1.90007202668609,0.14336026621707
26900,"Indianapolis-Carmel-Anderson, IN Metro Area",1988152,2015,54322,1.6,0.1,9.3,13.9,130824600000,NA,NA,"41212",706,"Indianapolis, IN","Bus",53812975,10187027,734.8,513137,7054506,40734431,9666605,4,89819421,34232426,10685980,32961893,11939122,65802.1117097687,5.77424287398721,79.3831491395085,3.54827296906876,0.258097469408778,20.4885899066067,4.86210561365529
26900,"Indianapolis-Carmel-Anderson, IN Metro Area",1988152,2015,54322,1.6,0.1,9.3,13.9,130824600000,NA,NA,"41212",706,"New Orleans, LA","Bus",53812975,10187027,734.8,513137,7054506,40734431,9666605,4,89819421,34232426,10685980,32961893,11939122,65802.1117097687,5.77424287398721,79.3831491395085,3.54827296906876,0.258097469408778,20.4885899066067,4.86210561365529
27260,"Jacksonville, FL Metro Area",1449481,2015,53221,1.2,1.2,10.8,14.3,68810200000,30.2341457,-81.7560779,"42346",530,"Jacksonville, FL","Bus",71000583,10897412,921.3,633136,8826757,71274476,11688620,21,120421133,31058152,8962262,66453443,13947276,47472.3021550472,8.07482023125821,112.573721917566,6.08959827690049,0.436801862183775,49.1724113665512,8.06400359852941
27260,"Jacksonville, FL Metro Area",1449481,2015,53221,1.2,1.2,10.8,14.3,68810200000,30.2341457,-81.7560779,"42346",530,"Jacksonville, FL","Other",15757726,1025993,0,263091,4857198,5655692,456109,14,120421133,31058152,8962262,66453443,13947276,47472.3021550472,1.16439395717449,21.4970941613358,3.35099114786603,0.181507035966667,3.9018738431204,0.314670561394044
27260,"Jacksonville, FL Metro Area",1449481,2015,53221,1.2,1.2,10.8,14.3,68810200000,30.2341457,-81.7560779,"42346",530,"Jacksonville, FL","Rail",6156242,0,5.44,15025,168341,1118458,1315833,56,120421133,31058152,8962262,66453443,13947276,47472.3021550472,6.64400235236811,74.4398003327787,0.116138811064098,0.0103657791995894,0.771626533911103,0.907795962830834
28140,"Kansas City, MO-KS Metro Area",2088269,2015,60502,1.3,0.2,8.9,11.8,125765100000,38.9086649,-94.5086766,"43912",678,"Kansas City, MO-KS","Other",15489408,1420088,0,226404,4132766,5519373,560392,NA,163151442,39105121,1628107,106722852,15695362,60224.5687696365,1.33551548769033,24.3784252928393,1.97903909889004,0.108417066958328,2.64303736731235,0.268352400959838
